step,timestamp,cpu_percent,mem_mb
0,1756819550.5605345,878.4,2343.09765625
100,1756819686.3755243,439.2,2945.64453125
200,1756819822.7548397,442.8,2968.0234375
300,1756819959.4434211,443.7,2990.60546875
400,1756820096.1902478,443.8,3013.61328125
500,1756820232.7351682,443.9,3036.7265625
600,1756820369.4272034,443.6,3060.125
700,1756820506.2160957,443.7,2990.06640625
