2025/08/26 14:09:49.869, 0, 1
2025/08/26 14:09:50.869, 0, 1
2025/08/26 14:09:51.870, 0, 1
2025/08/26 14:09:52.870, 0, 1
2025/08/26 14:09:53.871, 0, 1
2025/08/26 14:09:54.871, 0, 1
2025/08/26 14:09:55.873, 0, 1
2025/08/26 14:09:56.873, 0, 1
2025/08/26 14:09:57.875, 0, 1
2025/08/26 14:09:58.875, 0, 1
2025/08/26 14:09:59.876, 0, 1
2025/08/26 14:10:00.876, 0, 1
2025/08/26 14:10:01.876, 0, 1
2025/08/26 14:10:02.877, 0, 1
2025/08/26 14:10:03.877, 0, 1
2025/08/26 14:10:04.878, 0, 1
2025/08/26 14:10:05.878, 0, 1
2025/08/26 14:10:06.879, 0, 1
2025/08/26 14:10:07.879, 0, 1
2025/08/26 14:10:08.880, 0, 1
2025/08/26 14:10:09.881, 0, 1
2025/08/26 14:10:10.882, 0, 1
2025/08/26 14:10:11.882, 0, 1
2025/08/26 14:10:12.882, 0, 1
2025/08/26 14:10:13.884, 0, 1
2025/08/26 14:10:14.884, 0, 348
2025/08/26 14:10:15.884, 0, 348
2025/08/26 14:10:16.885, 0, 350
2025/08/26 14:10:17.885, 0, 354
2025/08/26 14:10:18.886, 2, 654
2025/08/26 14:10:19.886, 5, 3752
2025/08/26 14:10:20.888, 24, 7698
2025/08/26 14:10:21.888, 87, 8488
2025/08/26 14:10:22.889, 100, 8492
2025/08/26 14:10:23.889, 100, 8492
2025/08/26 14:10:24.889, 100, 8492
2025/08/26 14:10:25.890, 100, 8492
2025/08/26 14:10:26.892, 100, 8492
2025/08/26 14:10:27.892, 99, 8492
2025/08/26 14:10:28.893, 99, 8492
2025/08/26 14:10:29.894, 100, 8492
2025/08/26 14:10:30.896, 100, 8492
2025/08/26 14:10:31.896, 100, 8492
2025/08/26 14:10:32.897, 100, 8492
2025/08/26 14:10:33.898, 99, 8492
2025/08/26 14:10:34.900, 99, 8492
2025/08/26 14:10:35.900, 99, 8492
2025/08/26 14:10:36.901, 99, 8492
2025/08/26 14:10:37.901, 100, 8492
2025/08/26 14:10:38.903, 100, 8492
2025/08/26 14:10:39.905, 100, 8492
2025/08/26 14:10:40.905, 100, 8492
2025/08/26 14:10:41.906, 100, 8492
2025/08/26 14:10:42.907, 100, 8492
2025/08/26 14:10:43.907, 100, 8492
2025/08/26 14:10:44.908, 99, 8492
2025/08/26 14:10:45.908, 99, 8492
2025/08/26 14:10:46.910, 99, 8492
2025/08/26 14:10:47.912, 99, 8492
